序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847360,接收,14:41:48.785.0,0x00000401,标准帧,数据帧,0x08,C6 A2 00 00 E9 01 00 00 ,
8847361,接收,14:41:48.848.0,0x00000301,标准帧,数据帧,0x08,62 51 2B 50 31 00 00 00 ,
8847362,接收,14:41:48.848.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847363,接收,14:41:48.880.0,0x00000303,标准帧,数据帧,0x04,B1 28 00 00 ,
8847364,接收,14:41:48.880.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847365,接收,14:41:48.880.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C 02 00 ,
8847366,接收,14:41:48.880.0,0x0000030a,标准帧,数据帧,0x04,0D 51 03 51 ,
8847367,接收,14:41:48.880.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847368,接收,14:41:48.880.0,0x00000401,标准帧,数据帧,0x08,C6 A2 00 00 E9 01 00 00 ,
8847369,接收,14:41:48.959.0,0x00000301,标准帧,数据帧,0x08,68 51 2A 50 31 00 00 00 ,
8847370,接收,14:41:48.959.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847371,接收,14:41:48.959.0,0x00000303,标准帧,数据帧,0x04,B4 28 00 00 ,
8847372,接收,14:41:48.959.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847373,接收,14:41:48.975.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FE FF ,
8847374,接收,14:41:48.975.0,0x0000030a,标准帧,数据帧,0x04,0D 51 03 51 ,
8847375,接收,14:41:48.975.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847376,接收,14:41:48.975.0,0x00000401,标准帧,数据帧,0x08,D0 A2 00 00 E9 01 00 00 ,
8847377,接收,14:41:49.053.0,0x00000301,标准帧,数据帧,0x08,68 51 2D 50 31 00 00 00 ,
8847378,接收,14:41:49.053.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847379,接收,14:41:49.068.0,0x00000303,标准帧,数据帧,0x04,B4 28 00 00 ,
8847380,接收,14:41:49.068.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847381,接收,14:41:49.084.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FC FF ,
8847382,接收,14:41:49.084.0,0x0000030a,标准帧,数据帧,0x04,0D 51 03 51 ,
8847383,接收,14:41:49.084.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847384,接收,14:41:49.084.0,0x00000401,标准帧,数据帧,0x08,D0 A2 00 00 E9 01 00 00 ,
8847385,接收,14:41:49.149.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847386,接收,14:41:49.149.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 08 00 ,
8847387,接收,14:41:49.149.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847388,接收,14:41:49.149.0,0x00000301,标准帧,数据帧,0x08,62 51 2C 50 33 00 00 00 ,
8847389,接收,14:41:49.149.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847390,接收,14:41:49.149.0,0x00000402,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847391,接收,14:41:49.149.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847392,接收,14:41:49.149.0,0x00000508,标准帧,数据帧,0x08,6F 30 48 35 48 35 17 00 ,
8847393,接收,14:41:49.149.0,0x0000050b,标准帧,数据帧,0x08,48 35 48 35 11 C8 C8 11 ,
8847394,接收,14:41:49.164.0,0x00000303,标准帧,数据帧,0x04,B1 28 00 00 ,
8847395,接收,14:41:49.164.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847396,接收,14:41:49.164.0,0x00000405,标准帧,数据帧,0x08,32 10 31 10 32 10 32 10 ,
8847397,接收,14:41:49.164.0,0x00000406,标准帧,数据帧,0x08,35 10 33 10 33 10 33 10 ,
8847398,接收,14:41:49.164.0,0x0000050d,标准帧,数据帧,0x08,02 CE 2D 00 00 00 00 00 ,
8847399,接收,14:41:49.164.0,0x0000050d,标准帧,数据帧,0x08,03 6F 42 07 00 00 00 00 ,
8847400,接收,14:41:49.164.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C 02 00 ,
8847401,接收,14:41:49.164.0,0x0000030a,标准帧,数据帧,0x04,12 51 FE 50 ,
8847402,接收,14:41:49.164.0,0x00000407,标准帧,数据帧,0x04,36 10 35 10 ,
8847403,接收,14:41:49.164.0,0x00000408,标准帧,数据帧,0x04,80 AF 07 00 ,
8847404,接收,14:41:49.164.0,0x0000050d,标准帧,数据帧,0x08,04 3D 00 00 00 00 00 00 ,
8847405,接收,14:41:49.164.0,0x0000050d,标准帧,数据帧,0x08,05 04 C2 00 00 00 00 00 ,
8847406,接收,14:41:49.184.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847407,接收,14:41:49.184.0,0x00000401,标准帧,数据帧,0x08,C6 A2 00 00 FE 01 00 00 ,
8847408,接收,14:41:49.184.0,0x00000409,标准帧,数据帧,0x08,E3 E3 E3 D7 E3 E3 E3 E4 ,
8847409,接收,14:41:49.184.0,0x00000506,标准帧,数据帧,0x07,31 10 36 10 92 E3 E3 ,
8847410,接收,14:41:49.184.0,0x0000050d,标准帧,数据帧,0x08,06 00 00 00 00 00 00 00 ,
8847411,接收,14:41:49.184.0,0x0000050e,标准帧,数据帧,0x08,18 5C 04 00 78 88 04 00 ,
8847412,接收,14:41:49.197.0,0x00000509,标准帧,数据帧,0x03,3E 5D 01 ,
8847413,接收,14:41:49.197.0,0x0000050a,标准帧,数据帧,0x03,E5 E7 E3 ,
8847414,接收,14:41:49.197.0,0x0000050f,标准帧,数据帧,0x08,00 00 00 00 07 00 00 00 ,
8847415,接收,14:41:49.197.0,0x0000050f,标准帧,数据帧,0x08,0A 53 44 32 34 32 38 4D ,
8847416,接收,14:41:49.197.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847417,接收,14:41:49.197.0,0x0000050d,标准帧,数据帧,0x08,01 4F C3 00 00 00 00 00 ,
