序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
58,接收,19:10:06.228.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
59,接收,19:10:06.228.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 64 3B ,
60,接收,19:10:06.239.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
61,接收,19:10:06.239.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
62,接收,19:10:06.314.0,0x00000301,标准帧,数据帧,0x08,68 3C 45 3C 00 00 00 00 ,
63,接收,19:10:06.314.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
64,接收,19:10:06.340.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
65,接收,19:10:06.340.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
66,接收,19:10:06.340.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D2 FF ,
67,接收,19:10:06.340.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 64 3B ,
68,接收,19:10:06.340.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
69,接收,19:10:06.340.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
70,接收,19:10:06.411.0,0x00000301,标准帧,数据帧,0x08,68 3C 4B 3C 00 00 00 00 ,
71,接收,19:10:06.411.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
72,接收,19:10:06.418.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
73,接收,19:10:06.418.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
74,接收,19:10:06.429.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D6 FF ,
75,接收,19:10:06.429.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 64 3B ,
76,接收,19:10:06.439.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
77,接收,19:10:06.439.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
78,接收,19:10:06.516.0,0x00000301,标准帧,数据帧,0x08,68 3C 40 3C 00 00 00 00 ,
79,接收,19:10:06.516.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
80,接收,19:10:06.520.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
81,接收,19:10:06.520.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
82,接收,19:10:06.538.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D6 FF ,
83,接收,19:10:06.538.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 64 3B ,
84,接收,19:10:06.540.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
85,接收,19:10:06.540.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
86,接收,19:10:06.612.0,0x00000301,标准帧,数据帧,0x08,68 3C 46 3C 00 00 00 00 ,
87,接收,19:10:06.612.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
88,接收,19:10:06.619.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
89,接收,19:10:06.619.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
90,接收,19:10:06.629.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
91,接收,19:10:06.629.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
92,接收,19:10:06.639.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
93,接收,19:10:06.639.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
94,接收,19:10:06.716.0,0x00000301,标准帧,数据帧,0x08,68 3C 40 3C 00 00 00 00 ,
95,接收,19:10:06.716.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
96,接收,19:10:06.720.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
97,接收,19:10:06.720.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
98,接收,19:10:06.740.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7E 3C D2 FF ,
99,接收,19:10:06.740.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
100,接收,19:10:06.740.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
101,接收,19:10:06.740.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
