Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
4250,Receive,19:10:48.439.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4251,Receive,19:10:48.439.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4252,Receive,19:10:48.515.0,0x00000301,Standard,Data,0x08,68 3C 13 3C 00 00 00 00 ,
4253,Receive,19:10:48.515.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4254,Receive,19:10:48.520.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4255,Receive,19:10:48.520.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4256,Receive,19:10:48.540.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7E 3C D0 FF ,
4257,Receive,19:10:48.540.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
4258,Receive,19:10:48.540.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4259,Receive,19:10:48.540.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4260,Receive,19:10:48.610.0,0x00000301,Standard,Data,0x08,68 3C 15 3C 00 00 00 00 ,
4261,Receive,19:10:48.610.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4262,Receive,19:10:48.617.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4263,Receive,19:10:48.617.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4264,Receive,19:10:48.628.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 83 3C D6 FF ,
4265,Receive,19:10:48.628.0,0x0000030a,Standard,Data,0x04,63 3C 69 3B ,
4266,Receive,19:10:48.639.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4267,Receive,19:10:48.639.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4268,Receive,19:10:48.717.0,0x00000301,Standard,Data,0x08,68 3C 0E 3C 00 00 00 00 ,
4269,Receive,19:10:48.717.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4270,Receive,19:10:48.738.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4271,Receive,19:10:48.738.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4272,Receive,19:10:48.739.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 83 3C D0 FF ,
4273,Receive,19:10:48.739.0,0x0000030a,Standard,Data,0x04,63 3C 69 3B ,
4274,Receive,19:10:48.739.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4275,Receive,19:10:48.739.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
4276,Receive,19:10:48.809.0,0x00000604,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
4277,Receive,19:10:48.809.0,0x00000605,Standard,Data,0x08,00 00 00 00 01 00 00 00 ,
4278,Receive,19:10:48.812.0,0x00000606,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
4279,Receive,19:10:48.812.0,0x00000301,Standard,Data,0x08,6D 3C 0F 3C 00 00 00 00 ,
4280,Receive,19:10:48.812.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4281,Receive,19:10:48.812.0,0x00000402,Standard,Data,0x08,01 00 00 00 F8 25 00 00 ,
4282,Receive,19:10:48.812.0,0x00000403,Standard,Data,0x08,64 00 00 00 E3 C3 07 00 ,
