序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847417,接收,14:42:29.404.0,0x0000050d,标准帧,数据帧,0x08,01 4F C3 00 00 00 00 00 ,
8847418,接收,14:42:29.457.0,0x00000301,标准帧,数据帧,0x08,08 51 DC 50 33 00 00 00 ,
8847419,接收,14:42:29.457.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847420,接收,14:42:29.484.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847421,接收,14:42:29.484.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847422,接收,14:42:29.484.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847423,接收,14:42:29.484.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847424,接收,14:42:29.484.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847425,接收,14:42:29.484.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 FE 01 00 00 ,
8847426,接收,14:42:29.554.0,0x00000301,标准帧,数据帧,0x08,08 51 DB 50 32 00 00 00 ,
8847427,接收,14:42:29.554.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847428,接收,14:42:29.563.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847429,接收,14:42:29.563.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847430,接收,14:42:29.574.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 06 00 ,
8847431,接收,14:42:29.574.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847432,接收,14:42:29.584.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847433,接收,14:42:29.584.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847434,接收,14:42:29.656.0,0x00000301,标准帧,数据帧,0x08,08 51 D9 50 32 00 00 00 ,
8847435,接收,14:42:29.656.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847436,接收,14:42:29.682.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847437,接收,14:42:29.682.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847438,接收,14:42:29.687.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C FE FF ,
8847439,接收,14:42:29.687.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847440,接收,14:42:29.687.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847441,接收,14:42:29.687.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847442,接收,14:42:29.754.0,0x00000301,标准帧,数据帧,0x08,08 51 DA 50 32 00 00 00 ,
8847443,接收,14:42:29.754.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847444,接收,14:42:29.764.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847445,接收,14:42:29.764.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847446,接收,14:42:29.774.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847447,接收,14:42:29.774.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847448,接收,14:42:29.784.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847449,接收,14:42:29.784.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847450,接收,14:42:29.856.0,0x00000301,标准帧,数据帧,0x08,08 51 E0 50 32 00 00 00 ,
8847451,接收,14:42:29.856.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847452,接收,14:42:29.865.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847453,接收,14:42:29.865.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847454,接收,14:42:29.886.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 00 00 ,
8847455,接收,14:42:29.886.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847456,接收,14:42:29.886.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847457,接收,14:42:29.886.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 F4 01 00 00 ,
8847458,接收,14:42:29.954.0,0x00000301,标准帧,数据帧,0x08,03 51 DC 50 32 00 00 00 ,
8847459,接收,14:42:29.954.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847460,接收,14:42:29.963.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847461,接收,14:42:29.963.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847462,接收,14:42:29.975.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847463,接收,14:42:29.975.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847464,接收,14:42:29.983.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847465,接收,14:42:29.983.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847466,接收,14:42:30.056.0,0x00000301,标准帧,数据帧,0x08,03 51 D9 50 32 00 00 00 ,
8847467,接收,14:42:30.056.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847468,接收,14:42:30.084.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847469,接收,14:42:30.085.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847470,接收,14:42:30.085.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847471,接收,14:42:30.085.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847472,接收,14:42:30.085.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847473,接收,14:42:30.085.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847474,接收,14:42:30.153.0,0x00000301,标准帧,数据帧,0x08,03 51 D7 50 32 00 00 00 ,
8847475,接收,14:42:30.153.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847476,接收,14:42:30.163.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847477,接收,14:42:30.163.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847478,接收,14:42:30.173.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 00 00 ,
8847479,接收,14:42:30.173.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F8 4C ,
8847480,接收,14:42:30.183.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847481,接收,14:42:30.183.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847482,接收,14:42:30.255.0,0x00000301,标准帧,数据帧,0x08,03 51 D8 50 32 00 00 00 ,
8847483,接收,14:42:30.255.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847484,接收,14:42:30.285.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847485,接收,14:42:30.285.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847486,接收,14:42:30.285.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 02 00 ,
8847487,接收,14:42:30.285.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F8 4C ,
8847488,接收,14:42:30.285.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847489,接收,14:42:30.285.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847490,接收,14:42:30.355.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847491,接收,14:42:30.355.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 08 00 ,
8847492,接收,14:42:30.355.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847493,接收,14:42:30.355.0,0x00000301,标准帧,数据帧,0x08,08 51 DA 50 31 00 00 00 ,
8847494,接收,14:42:30.355.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847495,接收,14:42:30.355.0,0x00000402,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847496,接收,14:42:30.355.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847497,接收,14:42:30.366.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847498,接收,14:42:30.366.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847499,接收,14:42:30.366.0,0x00000405,标准帧,数据帧,0x08,35 10 31 10 33 10 32 10 ,
8847500,接收,14:42:30.366.0,0x00000406,标准帧,数据帧,0x08,31 10 33 10 33 10 31 10 ,
8847501,接收,14:42:30.376.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847502,接收,14:42:30.376.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847503,接收,14:42:30.376.0,0x00000407,标准帧,数据帧,0x04,33 10 32 10 ,
8847504,接收,14:42:30.376.0,0x00000408,标准帧,数据帧,0x04,2F AF 07 00 ,
8847505,接收,14:42:30.385.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847506,接收,14:42:30.385.0,0x00000401,标准帧,数据帧,0x08,11 A2 00 00 E9 01 00 00 ,
8847507,接收,14:42:30.385.0,0x00000409,标准帧,数据帧,0x08,E8 E7 E7 D8 E7 E7 E4 E5 ,
8847508,接收,14:42:30.385.0,0x00000506,标准帧,数据帧,0x07,31 10 35 10 12 E7 E8 ,
8847509,接收,14:42:30.394.0,0x00000509,标准帧,数据帧,0x03,40 60 01 ,
8847510,接收,14:42:30.394.0,0x0000050a,标准帧,数据帧,0x03,E7 EA E4 ,
8847511,接收,14:42:30.403.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847512,接收,14:42:30.403.0,0x0000050d,标准帧,数据帧,0x08,01 4F C3 00 00 00 00 00 ,
8847513,接收,14:42:30.456.0,0x00000301,标准帧,数据帧,0x08,08 51 D4 50 31 00 00 00 ,
8847514,接收,14:42:30.456.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847515,接收,14:42:30.485.0,0x00000303,标准帧,数据帧,0x04,84 28 00 00 ,
8847516,接收,14:42:30.485.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847517,接收,14:42:30.485.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C FE FF ,
8847518,接收,14:42:30.485.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847519,接收,14:42:30.485.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
