序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
0,接收,19:52:31.381.0,0x00000301,数据帧,标准帧,0x08,a7 3e 9b 3e 8f 01 00 00 
1,接收,19:52:31.381.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
2,接收,19:52:31.381.0,0x00000303,数据帧,标准帧,0x04,00 00 53 1f 
3,接收,19:52:31.381.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
4,接收,19:52:31.405.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
5,接收,19:52:31.405.0,0x0000030a,数据帧,标准帧,0x04,a7 3e 99 3d 
6,接收,19:52:31.405.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
7,接收,19:52:31.405.0,0x00000401,数据帧,标准帧,0x08,4f 7d 00 00 96 0f 00 00 
8,接收,19:52:31.471.0,0x00000301,数据帧,标准帧,0x08,a7 3e 9d 3e 90 01 00 00 
9,接收,19:52:31.471.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
10,接收,19:52:31.478.0,0x00000303,数据帧,标准帧,0x04,00 00 53 1f 
11,接收,19:52:31.478.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
12,接收,19:52:31.489.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
13,接收,19:52:31.489.0,0x0000030a,数据帧,标准帧,0x04,a7 3e 99 3d 
14,接收,19:52:31.499.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
15,接收,19:52:31.499.0,0x00000401,数据帧,标准帧,0x08,4f 7d 00 00 a0 0f 00 00 
16,接收,19:52:31.578.0,0x00000301,数据帧,标准帧,0x08,a7 3e 9e 3e 90 01 00 00 
17,接收,19:52:31.578.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
18,接收,19:52:31.579.0,0x00000303,数据帧,标准帧,0x04,00 00 53 1f 
19,接收,19:52:31.579.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
