序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
20,接收,19:52:31.605.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7d 3c 62 01 
21,接收,19:52:31.605.0,0x0000030a,数据帧,标准帧,0x04,a7 3e 99 3d 
22,接收,19:52:31.605.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
23,接收,19:52:31.605.0,0x00000401,数据帧,标准帧,0x08,4f 7d 00 00 a0 0f 00 00 
24,接收,19:52:31.671.0,0x00000301,数据帧,标准帧,0x08,a7 3e 9c 3e 90 01 00 00 
25,接收,19:52:31.671.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
26,接收,19:52:31.678.0,0x00000303,数据帧,标准帧,0x04,00 00 53 1f 
27,接收,19:52:31.678.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
28,接收,19:52:31.689.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 68 01 
29,接收,19:52:31.689.0,0x0000030a,数据帧,标准帧,0x04,a7 3e 9e 3d 
30,接收,19:52:31.698.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
31,接收,19:52:31.698.0,0x00000401,数据帧,标准帧,0x08,4f 7d 00 00 a0 0f 00 00 
32,接收,19:52:31.781.0,0x00000301,数据帧,标准帧,0x08,a7 3e 99 3e 90 01 00 00 
33,接收,19:52:31.781.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
34,接收,19:52:31.781.0,0x00000303,数据帧,标准帧,0x04,00 00 53 1f 
35,接收,19:52:31.781.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
36,接收,19:52:31.806.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 64 01 
37,接收,19:52:31.806.0,0x0000030a,数据帧,标准帧,0x04,a7 3e 9e 3d 
38,接收,19:52:31.806.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
39,接收,19:52:31.806.0,0x00000401,数据帧,标准帧,0x08,4f 7d 00 00 a0 0f 00 00 
40,接收,19:52:31.873.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
41,接收,19:52:31.873.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
42,接收,19:52:31.873.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
43,接收,19:52:31.873.0,0x00000301,数据帧,标准帧,0x08,ac 3e 9f 3e 8f 01 00 00 
44,接收,19:52:31.873.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
45,接收,19:52:31.873.0,0x00000402,数据帧,标准帧,0x08,02 00 00 00 0f 2a 00 00 
46,接收,19:52:31.873.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 e3 c3 07 00 
47,接收,19:52:31.880.0,0x00000303,数据帧,标准帧,0x04,00 00 56 1f 
48,接收,19:52:31.880.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
49,接收,19:52:31.880.0,0x00000405,数据帧,标准帧,0x08,86 0c 86 0c 89 0c 8a 0c 
50,接收,19:52:31.880.0,0x00000406,数据帧,标准帧,0x08,79 0c 90 0c 8a 0c 8a 0c 
51,接收,19:52:31.891.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 62 01 
52,接收,19:52:31.891.0,0x0000030a,数据帧,标准帧,0x04,ac 3e a8 3d 
53,接收,19:52:31.891.0,0x00000407,数据帧,标准帧,0x04,89 0c 90 0c 
54,接收,19:52:31.891.0,0x00000408,数据帧,标准帧,0x04,a5 00 00 00 
55,接收,19:52:31.900.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
56,接收,19:52:31.900.0,0x00000401,数据帧,标准帧,0x08,5a 7d 00 00 96 0f 00 00 
57,接收,19:52:31.900.0,0x00000409,数据帧,标准帧,0x08,e5 e4 e5 d7 e6 e5 e5 e6 
58,接收,19:52:31.900.0,0x00000506,数据帧,标准帧,0x07,79 0c 90 0c a5 e4 e5 
59,接收,19:52:31.908.0,0x00000509,数据帧,标准帧,0x03,3f 80 01 
60,接收,19:52:31.908.0,0x0000050a,数据帧,标准帧,0x03,e7 e6 e4 
61,接收,19:52:31.919.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 27 04 00 
62,接收,19:52:31.919.0,0x0000050d,数据帧,标准帧,0x08,01 21 04 00 00 00 00 00 
63,接收,19:52:31.981.0,0x00000301,数据帧,标准帧,0x08,ac 3e 9e 3e 8f 01 00 00 
64,接收,19:52:31.981.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
65,接收,19:52:31.981.0,0x00000303,数据帧,标准帧,0x04,00 00 56 1f 
66,接收,19:52:31.981.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
67,接收,19:52:32.006.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
68,接收,19:52:32.006.0,0x0000030a,数据帧,标准帧,0x04,ac 3e a8 3d 
69,接收,19:52:32.006.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
70,接收,19:52:32.006.0,0x00000401,数据帧,标准帧,0x08,5a 7d 00 00 96 0f 00 00 
71,接收,19:52:32.071.0,0x00000301,数据帧,标准帧,0x08,b1 3e a8 3e 8f 01 00 00 
72,接收,19:52:32.071.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
73,接收,19:52:32.078.0,0x00000303,数据帧,标准帧,0x04,00 00 58 1f 
74,接收,19:52:32.078.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
75,接收,19:52:32.088.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
76,接收,19:52:32.088.0,0x0000030a,数据帧,标准帧,0x04,b1 3e a3 3d 
77,接收,19:52:32.098.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
78,接收,19:52:32.098.0,0x00000401,数据帧,标准帧,0x08,63 7d 00 00 96 0f 00 00 
79,接收,19:52:32.178.0,0x00000301,数据帧,标准帧,0x08,b1 3e a1 3e 8f 01 00 00 
80,接收,19:52:32.178.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
81,接收,19:52:32.179.0,0x00000303,数据帧,标准帧,0x04,00 00 58 1f 
82,接收,19:52:32.180.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
83,接收,19:52:32.202.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 64 01 
84,接收,19:52:32.202.0,0x0000030a,数据帧,标准帧,0x04,b1 3e a3 3d 
85,接收,19:52:32.202.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
86,接收,19:52:32.202.0,0x00000401,数据帧,标准帧,0x08,63 7d 00 00 96 0f 00 00 
87,接收,19:52:32.271.0,0x00000301,数据帧,标准帧,0x08,b7 3e a7 3e 8f 01 00 00 
88,接收,19:52:32.271.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
89,接收,19:52:32.279.0,0x00000303,数据帧,标准帧,0x04,00 00 5b 1f 
90,接收,19:52:32.279.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
91,接收,19:52:32.288.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 66 01 
92,接收,19:52:32.288.0,0x0000030a,数据帧,标准帧,0x04,b1 3e a3 3d 
93,接收,19:52:32.298.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
94,接收,19:52:32.298.0,0x00000401,数据帧,标准帧,0x08,6e 7d 00 00 96 0f 00 00 
95,接收,19:52:32.378.0,0x00000301,数据帧,标准帧,0x08,b7 3e a5 3e 8f 01 00 00 
96,接收,19:52:32.379.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
97,接收,19:52:32.379.0,0x00000303,数据帧,标准帧,0x04,00 00 5b 1f 
98,接收,19:52:32.380.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
99,接收,19:52:32.404.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
100,接收,19:52:32.404.0,0x0000030a,数据帧,标准帧,0x04,b1 3e a3 3d 
101,接收,19:52:32.404.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
102,接收,19:52:32.404.0,0x00000401,数据帧,标准帧,0x08,6e 7d 00 00 96 0f 00 00 
103,接收,19:52:32.472.0,0x00000301,数据帧,标准帧,0x08,b7 3e a4 3e 8f 01 00 00 
104,接收,19:52:32.472.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
105,接收,19:52:32.479.0,0x00000303,数据帧,标准帧,0x04,00 00 5b 1f 
106,接收,19:52:32.479.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
107,接收,19:52:32.489.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 68 01 
108,接收,19:52:32.489.0,0x0000030a,数据帧,标准帧,0x04,bb 3e a8 3d 
109,接收,19:52:32.498.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
110,接收,19:52:32.498.0,0x00000401,数据帧,标准帧,0x08,6e 7d 00 00 96 0f 00 00 
111,接收,19:52:32.580.0,0x00000301,数据帧,标准帧,0x08,b7 3e a4 3e 8f 01 00 00 
112,接收,19:52:32.580.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
113,接收,19:52:32.580.0,0x00000303,数据帧,标准帧,0x04,00 00 5b 1f 
114,接收,19:52:32.580.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
115,接收,19:52:32.604.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 80 3c 60 01 
116,接收,19:52:32.604.0,0x0000030a,数据帧,标准帧,0x04,bb 3e a8 3d 
117,接收,19:52:32.604.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
118,接收,19:52:32.604.0,0x00000401,数据帧,标准帧,0x08,6e 7d 00 00 96 0f 00 00 
119,接收,19:52:32.672.0,0x00000301,数据帧,标准帧,0x08,b7 3e a8 3e 8f 01 00 00 
120,接收,19:52:32.672.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
121,接收,19:52:32.679.0,0x00000303,数据帧,标准帧,0x04,00 00 5b 1f 
122,接收,19:52:32.679.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
123,接收,19:52:32.688.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 80 3c 66 01 
124,接收,19:52:32.688.0,0x0000030a,数据帧,标准帧,0x04,b7 3e ad 3d 
125,接收,19:52:32.699.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
126,接收,19:52:32.699.0,0x00000401,数据帧,标准帧,0x08,6e 7d 00 00 96 0f 00 00 
127,接收,19:52:32.781.0,0x00000301,数据帧,标准帧,0x08,b7 3e a8 3e 8f 01 00 00 
128,接收,19:52:32.781.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
129,接收,19:52:32.781.0,0x00000303,数据帧,标准帧,0x04,00 00 5b 1f 
130,接收,19:52:32.781.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
131,接收,19:52:32.805.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 64 01 
132,接收,19:52:32.805.0,0x0000030a,数据帧,标准帧,0x04,b7 3e ad 3d 
133,接收,19:52:32.805.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
134,接收,19:52:32.805.0,0x00000401,数据帧,标准帧,0x08,6e 7d 00 00 96 0f 00 00 
135,接收,19:52:32.874.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
136,接收,19:52:32.874.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
137,接收,19:52:32.874.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
138,接收,19:52:32.874.0,0x00000301,数据帧,标准帧,0x08,bb 3e aa 3e 8f 01 00 00 
139,接收,19:52:32.874.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
140,接收,19:52:32.874.0,0x00000402,数据帧,标准帧,0x08,02 00 00 00 0f 2a 00 00 
141,接收,19:52:32.874.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 e3 c3 07 00 
142,接收,19:52:32.878.0,0x00000303,数据帧,标准帧,0x04,00 00 5e 1f 
143,接收,19:52:32.878.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
144,接收,19:52:32.879.0,0x00000405,数据帧,标准帧,0x08,87 0c 89 0c 8a 0c 8d 0c 
145,接收,19:52:32.879.0,0x00000406,数据帧,标准帧,0x08,7c 0c 91 0c 8d 0c 8b 0c 
146,接收,19:52:32.890.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 62 01 
147,接收,19:52:32.890.0,0x0000030a,数据帧,标准帧,0x04,ca 3e b2 3d 
148,接收,19:52:32.890.0,0x00000407,数据帧,标准帧,0x04,8b 0c 93 0c 
149,接收,19:52:32.890.0,0x00000408,数据帧,标准帧,0x04,a6 00 00 00 
150,接收,19:52:32.898.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
151,接收,19:52:32.898.0,0x00000401,数据帧,标准帧,0x08,77 7d 00 00 96 0f 00 00 
152,接收,19:52:32.899.0,0x00000409,数据帧,标准帧,0x08,e5 e4 e5 d7 e6 e5 e5 e6 
153,接收,19:52:32.899.0,0x00000506,数据帧,标准帧,0x07,7c 0c 93 0c a5 e4 e5 
154,接收,19:52:32.909.0,0x00000509,数据帧,标准帧,0x03,3f 80 01 
155,接收,19:52:32.909.0,0x0000050a,数据帧,标准帧,0x03,e7 e6 e4 
156,接收,19:52:32.919.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 27 04 00 
157,接收,19:52:32.919.0,0x0000050d,数据帧,标准帧,0x08,01 21 04 00 00 00 00 00 
158,接收,19:52:32.981.0,0x00000301,数据帧,标准帧,0x08,bb 3e ad 3e 8f 01 00 00 
159,接收,19:52:32.981.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
160,接收,19:52:32.981.0,0x00000303,数据帧,标准帧,0x04,00 00 5e 1f 
161,接收,19:52:32.981.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
162,接收,19:52:33.006.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 64 01 
163,接收,19:52:33.006.0,0x0000030a,数据帧,标准帧,0x04,ca 3e b2 3d 
164,接收,19:52:33.006.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
165,接收,19:52:33.006.0,0x00000401,数据帧,标准帧,0x08,77 7d 00 00 96 0f 00 00 
166,接收,19:52:33.072.0,0x00000301,数据帧,标准帧,0x08,c1 3e ae 3e 90 01 00 00 
167,接收,19:52:33.072.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
168,接收,19:52:33.079.0,0x00000303,数据帧,标准帧,0x04,00 00 60 1f 
169,接收,19:52:33.079.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
170,接收,19:52:33.088.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 60 01 
171,接收,19:52:33.088.0,0x0000030a,数据帧,标准帧,0x04,c5 3e ad 3d 
172,接收,19:52:33.099.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
173,接收,19:52:33.099.0,0x00000401,数据帧,标准帧,0x08,82 7d 00 00 a0 0f 00 00 
174,接收,19:52:33.181.0,0x00000301,数据帧,标准帧,0x08,c1 3e ad 3e 90 01 00 00 
175,接收,19:52:33.181.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
176,接收,19:52:33.181.0,0x00000303,数据帧,标准帧,0x04,00 00 60 1f 
177,接收,19:52:33.181.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
178,接收,19:52:33.203.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7d 3c 62 01 
179,接收,19:52:33.203.0,0x0000030a,数据帧,标准帧,0x04,c5 3e ad 3d 
180,接收,19:52:33.203.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
181,接收,19:52:33.203.0,0x00000401,数据帧,标准帧,0x08,82 7d 00 00 a0 0f 00 00 
182,接收,19:52:33.272.0,0x00000301,数据帧,标准帧,0x08,bb 3e b1 3e 90 01 00 00 
183,接收,19:52:33.272.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
184,接收,19:52:33.279.0,0x00000303,数据帧,标准帧,0x04,00 00 5e 1f 
185,接收,19:52:33.279.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
186,接收,19:52:33.290.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 62 01 
187,接收,19:52:33.290.0,0x0000030a,数据帧,标准帧,0x04,c5 3e b2 3d 
188,接收,19:52:33.299.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
189,接收,19:52:33.299.0,0x00000401,数据帧,标准帧,0x08,77 7d 00 00 a0 0f 00 00 
190,接收,19:52:33.378.0,0x00000301,数据帧,标准帧,0x08,bb 3e b1 3e 90 01 00 00 
191,接收,19:52:33.378.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
192,接收,19:52:33.379.0,0x00000303,数据帧,标准帧,0x04,00 00 5e 1f 
193,接收,19:52:33.379.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
194,接收,19:52:33.404.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7d 3c 62 01 
195,接收,19:52:33.404.0,0x0000030a,数据帧,标准帧,0x04,c5 3e b2 3d 
196,接收,19:52:33.404.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
197,接收,19:52:33.404.0,0x00000401,数据帧,标准帧,0x08,77 7d 00 00 a0 0f 00 00 
198,接收,19:52:33.470.0,0x00000301,数据帧,标准帧,0x08,c1 3e b4 3e 8f 01 00 00 
199,接收,19:52:33.470.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
200,接收,19:52:33.478.0,0x00000303,数据帧,标准帧,0x04,00 00 60 1f 
201,接收,19:52:33.478.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
202,接收,19:52:33.489.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 64 01 
203,接收,19:52:33.489.0,0x0000030a,数据帧,标准帧,0x04,ca 3e b2 3d 
204,接收,19:52:33.500.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
205,接收,19:52:33.500.0,0x00000401,数据帧,标准帧,0x08,82 7d 00 00 96 0f 00 00 
206,接收,19:52:33.579.0,0x00000301,数据帧,标准帧,0x08,c1 3e b8 3e 8f 01 00 00 
207,接收,19:52:33.579.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
208,接收,19:52:33.579.0,0x00000303,数据帧,标准帧,0x04,00 00 60 1f 
209,接收,19:52:33.579.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
210,接收,19:52:33.604.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
211,接收,19:52:33.604.0,0x0000030a,数据帧,标准帧,0x04,ca 3e b2 3d 
212,接收,19:52:33.604.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
213,接收,19:52:33.604.0,0x00000401,数据帧,标准帧,0x08,82 7d 00 00 96 0f 00 00 
214,接收,19:52:33.670.0,0x00000301,数据帧,标准帧,0x08,c1 3e ad 3e 8f 01 00 00 
215,接收,19:52:33.670.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
216,接收,19:52:33.679.0,0x00000303,数据帧,标准帧,0x04,00 00 60 1f 
217,接收,19:52:33.679.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
218,接收,19:52:33.689.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 62 01 
219,接收,19:52:33.689.0,0x0000030a,数据帧,标准帧,0x04,cf 3e b2 3d 
220,接收,19:52:33.698.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
221,接收,19:52:33.698.0,0x00000401,数据帧,标准帧,0x08,82 7d 00 00 96 0f 00 00 
222,接收,19:52:33.781.0,0x00000301,数据帧,标准帧,0x08,c1 3e b9 3e 8f 01 00 00 
223,接收,19:52:33.781.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
224,接收,19:52:33.781.0,0x00000303,数据帧,标准帧,0x04,00 00 60 1f 
225,接收,19:52:33.781.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
226,接收,19:52:33.803.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7d 3c 62 01 
227,接收,19:52:33.803.0,0x0000030a,数据帧,标准帧,0x04,cf 3e b2 3d 
228,接收,19:52:33.803.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
229,接收,19:52:33.803.0,0x00000401,数据帧,标准帧,0x08,82 7d 00 00 96 0f 00 00 
230,接收,19:52:33.873.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
231,接收,19:52:33.873.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
232,接收,19:52:33.873.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
233,接收,19:52:33.873.0,0x00000301,数据帧,标准帧,0x08,c5 3e b4 3e 8f 01 00 00 
234,接收,19:52:33.873.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
235,接收,19:52:33.873.0,0x00000402,数据帧,标准帧,0x08,02 00 00 00 0f 2a 00 00 
236,接收,19:52:33.873.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 e3 c3 07 00 
237,接收,19:52:33.877.0,0x00000303,数据帧,标准帧,0x04,00 00 63 1f 
238,接收,19:52:33.877.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
239,接收,19:52:33.880.0,0x00000405,数据帧,标准帧,0x08,8a 0c 8a 0c 8d 0c 8e 0c 
240,接收,19:52:33.880.0,0x00000406,数据帧,标准帧,0x08,7e 0c 93 0c 8e 0c 8d 0c 
241,接收,19:52:33.890.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7e 3c 64 01 
242,接收,19:52:33.890.0,0x0000030a,数据帧,标准帧,0x04,cf 3e b7 3d 
243,接收,19:52:33.890.0,0x00000407,数据帧,标准帧,0x04,8d 0c 95 0c 
244,接收,19:52:33.890.0,0x00000408,数据帧,标准帧,0x04,a7 00 00 00 
245,接收,19:52:33.898.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
246,接收,19:52:33.898.0,0x00000401,数据帧,标准帧,0x08,8c 7d 00 00 96 0f 00 00 
247,接收,19:52:33.900.0,0x00000409,数据帧,标准帧,0x08,e5 e4 e5 d7 e6 e5 e5 e6 
248,接收,19:52:33.900.0,0x00000506,数据帧,标准帧,0x07,7e 0c 95 0c a5 e4 e5 
249,接收,19:52:33.908.0,0x00000509,数据帧,标准帧,0x03,3f 80 01 
250,接收,19:52:33.908.0,0x0000050a,数据帧,标准帧,0x03,e7 e6 e4 
251,接收,19:52:33.918.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 27 04 00 
252,接收,19:52:33.918.0,0x0000050d,数据帧,标准帧,0x08,01 21 04 00 00 00 00 00 
253,接收,19:52:33.981.0,0x00000301,数据帧,标准帧,0x08,c5 3e b2 3e 8f 01 00 00 
254,接收,19:52:33.981.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
255,接收,19:52:33.981.0,0x00000303,数据帧,标准帧,0x04,00 00 63 1f 
256,接收,19:52:33.981.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
257,接收,19:52:34.004.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 62 01 
258,接收,19:52:34.004.0,0x0000030a,数据帧,标准帧,0x04,cf 3e b7 3d 
259,接收,19:52:34.004.0,0x00000400,数据帧,标准帧,0x08,07 00 8c 80 00 00 00 00 
260,接收,19:52:34.004.0,0x00000401,数据帧,标准帧,0x08,8c 7d 00 00 96 0f 00 00 
261,接收,19:52:34.071.0,0x00000301,数据帧,标准帧,0x08,c5 3e b4 3e 90 01 00 00 
262,接收,19:52:34.071.0,0x00000302,数据帧,标准帧,0x08,00 00 c4 09 a9 50 9d 39 
263,接收,19:52:34.078.0,0x00000303,数据帧,标准帧,0x04,00 00 63 1f 
264,接收,19:52:34.078.0,0x00000304,数据帧,标准帧,0x06,06 9c 03 12 00 00 
265,接收,19:52:34.089.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 3f 7f 3c 60 01 
