Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
511,Receive,10:43:04.972.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
512,Receive,10:43:04.991.0,0x00000309,Data,Standard,0x08,62 a2 00 45 75 3c d5 ff 
513,Receive,10:43:04.991.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
514,Receive,10:43:04.991.0,0x0000030b,Data,Standard,0x01,00 
515,Receive,10:43:04.994.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
516,Receive,10:43:05.003.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
517,Receive,10:43:05.063.0,0x00000301,Data,Standard,0x08,ac 44 ce 01 00 00 00 00 
518,Receive,10:43:05.063.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
519,Receive,10:43:05.074.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
520,Receive,10:43:05.074.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
521,Receive,10:43:05.083.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7c 3c d5 ff 
522,Receive,10:43:05.083.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
523,Receive,10:43:05.092.0,0x0000030b,Data,Standard,0x01,00 
524,Receive,10:43:05.092.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
525,Receive,10:43:05.102.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
526,Receive,10:43:05.163.0,0x00000301,Data,Standard,0x08,ac 44 53 01 00 00 00 00 
527,Receive,10:43:05.164.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
528,Receive,10:43:05.172.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
529,Receive,10:43:05.172.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
530,Receive,10:43:05.190.0,0x00000309,Data,Standard,0x08,62 a2 00 45 75 3c db ff 
531,Receive,10:43:05.190.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
532,Receive,10:43:05.192.0,0x0000030b,Data,Standard,0x01,00 
533,Receive,10:43:05.192.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
534,Receive,10:43:05.202.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
535,Receive,10:43:05.262.0,0x00000301,Data,Standard,0x08,ac 44 01 01 00 00 00 00 
536,Receive,10:43:05.262.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
537,Receive,10:43:05.272.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
538,Receive,10:43:05.272.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
539,Receive,10:43:05.282.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7c 3c d9 ff 
540,Receive,10:43:05.282.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
541,Receive,10:43:05.292.0,0x0000030b,Data,Standard,0x01,00 
542,Receive,10:43:05.292.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
543,Receive,10:43:05.302.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
544,Receive,10:43:05.364.0,0x00000301,Data,Standard,0x08,ac 44 c7 00 00 00 00 00 
545,Receive,10:43:05.364.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
546,Receive,10:43:05.373.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
547,Receive,10:43:05.373.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
548,Receive,10:43:05.390.0,0x00000309,Data,Standard,0x08,62 a2 00 45 75 3c d5 ff 
549,Receive,10:43:05.390.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
550,Receive,10:43:05.392.0,0x0000030b,Data,Standard,0x01,00 
551,Receive,10:43:05.392.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
552,Receive,10:43:05.402.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
553,Receive,10:43:05.462.0,0x00000301,Data,Standard,0x08,ac 44 a0 00 00 00 00 00 
554,Receive,10:43:05.462.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
555,Receive,10:43:05.472.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
556,Receive,10:43:05.472.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
557,Receive,10:43:05.482.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7c 3c d7 ff 
558,Receive,10:43:05.482.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
559,Receive,10:43:05.492.0,0x0000030b,Data,Standard,0x01,00 
560,Receive,10:43:05.492.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
561,Receive,10:43:05.504.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
562,Receive,10:43:05.565.0,0x00000301,Data,Standard,0x08,ac 44 89 00 00 00 00 00 
563,Receive,10:43:05.565.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
564,Receive,10:43:05.571.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
565,Receive,10:43:05.571.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
566,Receive,10:43:05.592.0,0x00000309,Data,Standard,0x08,62 a2 00 45 75 3c d5 ff 
567,Receive,10:43:05.592.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
568,Receive,10:43:05.592.0,0x0000030b,Data,Standard,0x01,00 
569,Receive,10:43:05.592.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
570,Receive,10:43:05.603.0,0x00000401,Data,Standard,0x08,58 89 00 00 00 00 00 00 
571,Receive,10:43:05.662.0,0x00000604,Data,Standard,0x08,00 00 00 00 00 00 00 00 
572,Receive,10:43:05.662.0,0x00000605,Data,Standard,0x08,00 00 00 00 00 00 00 00 
573,Receive,10:43:05.663.0,0x00000606,Data,Standard,0x08,00 00 00 00 00 00 00 00 
574,Receive,10:43:05.663.0,0x00000301,Data,Standard,0x08,ac 44 7c 00 00 00 00 00 
575,Receive,10:43:05.666.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
576,Receive,10:43:05.666.0,0x00000402,Data,Standard,0x08,1b 00 00 00 0d e2 01 00 
577,Receive,10:43:05.666.0,0x00000403,Data,Standard,0x08,64 00 00 00 b3 e0 06 00 
578,Receive,10:43:05.666.0,0x00000508,Data,Standard,0x08,6f 30 6f 30 42 0d 00 00 
579,Receive,10:43:05.666.0,0x0000050b,Data,Standard,0x08,6f 30 6f 30 11 36 37 a4 
580,Receive,10:43:05.674.0,0x00000303,Data,Standard,0x04,8e 14 1b 0f 
581,Receive,10:43:05.674.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
582,Receive,10:43:05.674.0,0x00000404,Data,Standard,0x01,36 
583,Receive,10:43:05.674.0,0x00000405,Data,Standard,0x08,bb 0d bb 0d bb 0d b9 0d 
584,Receive,10:43:05.674.0,0x0000050d,Data,Standard,0x08,02 ea 00 00 00 00 00 00 
585,Receive,10:43:05.674.0,0x0000050d,Data,Standard,0x08,03 17 1b 00 00 00 00 00 
586,Receive,10:43:05.684.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7c 3c d9 ff 
587,Receive,10:43:05.684.0,0x0000030a,Data,Standard,0x04,86 19 91 19 
