Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
63,Receive,15:16:36.502.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
64,Receive,15:16:36.502.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
65,Receive,15:16:36.502.0,0x00000407,Data,Standard,0x04,11 0e 11 0e 
66,Receive,15:16:36.502.0,0x00000408,Data,Standard,0x04,3a 00 00 00 
67,Receive,15:16:36.513.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
68,Receive,15:16:36.513.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
69,Receive,15:16:36.513.0,0x00000409,Data,Standard,0x08,e4 e4 e6 d7 e5 e9 e5 e6 
70,Receive,15:16:36.513.0,0x00000506,Data,Standard,0x07,0f 0e 11 0e 94 e4 e6 
71,Receive,15:16:36.520.0,0x00000509,Data,Standard,0x03,40 72 01 
72,Receive,15:16:36.520.0,0x0000050a,Data,Standard,0x03,e9 e9 e5 
73,Receive,15:16:36.531.0,0x0000050d,Data,Standard,0x08,00 00 00 00 00 00 00 00 
74,Receive,15:16:36.531.0,0x0000050d,Data,Standard,0x08,01 5a 4c 00 00 00 00 00 
75,Receive,15:16:36.582.0,0x00000301,Data,Standard,0x08,5a 46 5e 00 00 00 00 00 
76,Receive,15:16:36.582.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
77,Receive,15:16:36.610.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
78,Receive,15:16:36.610.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
79,Receive,15:16:36.610.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c ca ff 
80,Receive,15:16:36.610.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
81,Receive,15:16:36.610.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
82,Receive,15:16:36.610.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
83,Receive,15:16:36.681.0,0x00000301,Data,Standard,0x08,5a 46 5e 00 00 00 00 00 
84,Receive,15:16:36.681.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
85,Receive,15:16:36.690.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
86,Receive,15:16:36.690.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
87,Receive,15:16:36.701.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c ce ff 
88,Receive,15:16:36.701.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
89,Receive,15:16:36.710.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
90,Receive,15:16:36.710.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
91,Receive,15:16:36.780.0,0x00000301,Data,Standard,0x08,5a 46 5f 00 00 00 00 00 
92,Receive,15:16:36.780.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
93,Receive,15:16:36.809.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
94,Receive,15:16:36.809.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
95,Receive,15:16:36.809.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
96,Receive,15:16:36.809.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
97,Receive,15:16:36.809.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
98,Receive,15:16:36.809.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
99,Receive,15:16:36.880.0,0x00000301,Data,Standard,0x08,5a 46 5d 00 00 00 00 00 
100,Receive,15:16:36.880.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
101,Receive,15:16:36.891.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
102,Receive,15:16:36.891.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
103,Receive,15:16:36.900.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c ce ff 
104,Receive,15:16:36.900.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
105,Receive,15:16:36.911.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
106,Receive,15:16:36.911.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
107,Receive,15:16:36.981.0,0x00000301,Data,Standard,0x08,5a 46 5e 00 00 00 00 00 
108,Receive,15:16:36.981.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
109,Receive,15:16:37.010.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
110,Receive,15:16:37.010.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
111,Receive,15:16:37.010.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
112,Receive,15:16:37.010.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
113,Receive,15:16:37.010.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
114,Receive,15:16:37.010.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
115,Receive,15:16:37.081.0,0x00000301,Data,Standard,0x08,5a 46 5d 00 00 00 00 00 
116,Receive,15:16:37.081.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
117,Receive,15:16:37.091.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
118,Receive,15:16:37.091.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
119,Receive,15:16:37.101.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c cc ff 
120,Receive,15:16:37.101.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
121,Receive,15:16:37.110.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
122,Receive,15:16:37.110.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
123,Receive,15:16:37.181.0,0x00000301,Data,Standard,0x08,5a 46 5c 00 00 00 00 00 
124,Receive,15:16:37.181.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
125,Receive,15:16:37.209.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
126,Receive,15:16:37.209.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
127,Receive,15:16:37.209.0,0x00000309,Data,Standard,0x08,63 a7 00 46 83 3c cc ff 
128,Receive,15:16:37.209.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
129,Receive,15:16:37.209.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
130,Receive,15:16:37.209.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
131,Receive,15:16:37.280.0,0x00000301,Data,Standard,0x08,5a 46 5e 00 00 00 00 00 
132,Receive,15:16:37.280.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
133,Receive,15:16:37.291.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
134,Receive,15:16:37.291.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
135,Receive,15:16:37.300.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c c8 ff 
136,Receive,15:16:37.300.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
137,Receive,15:16:37.311.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
138,Receive,15:16:37.311.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
139,Receive,15:16:37.381.0,0x00000301,Data,Standard,0x08,5a 46 5c 00 00 00 00 00 
140,Receive,15:16:37.381.0,0x00000302,Data,Standard,0x08,ce 07 c4 09 a9 50 9d 39 
141,Receive,15:16:37.409.0,0x00000303,Data,Standard,0x04,20 1c 2d 23 
142,Receive,15:16:37.409.0,0x00000304,Data,Standard,0x06,01 8c 00 20 00 00 
143,Receive,15:16:37.409.0,0x00000309,Data,Standard,0x08,63 a7 00 46 82 3c ca ff 
144,Receive,15:16:37.409.0,0x0000030a,Data,Standard,0x04,36 00 36 00 
145,Receive,15:16:37.409.0,0x00000400,Data,Standard,0x08,01 00 00 00 00 00 00 00 
146,Receive,15:16:37.409.0,0x00000401,Data,Standard,0x08,b4 8c 00 00 00 00 00 00 
