序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
0,接收,10:43:00.263.0,0x00000301,数据帧,标准帧,0x08,ac 44 d7 37 fe ff 00 00 
1,接收,10:43:00.263.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
2,接收,10:43:00.273.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
3,接收,10:43:00.273.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
4,接收,10:43:00.282.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7b 3c d9 ff 
5,接收,10:43:00.282.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
6,接收,10:43:00.293.0,0x0000030b,数据帧,标准帧,0x01,00 
7,接收,10:43:00.293.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
8,接收,10:43:00.304.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
9,接收,10:43:00.363.0,0x00000301,数据帧,标准帧,0x08,ac 44 8f 36 fe ff 00 00 
10,接收,10:43:00.365.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
11,接收,10:43:00.373.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
12,接收,10:43:00.373.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
13,接收,10:43:00.391.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d5 ff 
14,接收,10:43:00.391.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
15,接收,10:43:00.393.0,0x0000030b,数据帧,标准帧,0x01,00 
16,接收,10:43:00.393.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
17,接收,10:43:00.403.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
18,接收,10:43:00.464.0,0x00000301,数据帧,标准帧,0x08,ac 44 52 35 fe ff 00 00 
19,接收,10:43:00.464.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
20,接收,10:43:00.473.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
21,接收,10:43:00.473.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
22,接收,10:43:00.482.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7b 3c d9 ff 
23,接收,10:43:00.482.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
24,接收,10:43:00.493.0,0x0000030b,数据帧,标准帧,0x01,00 
25,接收,10:43:00.493.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
26,接收,10:43:00.504.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
27,接收,10:43:00.565.0,0x00000301,数据帧,标准帧,0x08,ac 44 1c 34 fe ff 00 00 
28,接收,10:43:00.565.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
29,接收,10:43:00.573.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
30,接收,10:43:00.573.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
31,接收,10:43:00.593.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d1 ff 
32,接收,10:43:00.593.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
33,接收,10:43:00.593.0,0x0000030b,数据帧,标准帧,0x01,00 
34,接收,10:43:00.593.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
35,接收,10:43:00.604.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
36,接收,10:43:00.662.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
37,接收,10:43:00.662.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
38,接收,10:43:00.662.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
39,接收,10:43:00.662.0,0x00000301,数据帧,标准帧,0x08,ac 44 ef 32 fe ff 00 00 
40,接收,10:43:00.664.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
41,接收,10:43:00.664.0,0x00000402,数据帧,标准帧,0x08,1b 00 00 00 f3 e1 01 00 
42,接收,10:43:00.666.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
43,接收,10:43:00.674.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
44,接收,10:43:00.674.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
45,接收,10:43:00.674.0,0x00000404,数据帧,标准帧,0x01,36 
46,接收,10:43:00.674.0,0x00000405,数据帧,标准帧,0x08,bb 0d bb 0d bb 0d b9 0d 
47,接收,10:43:00.685.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7c 3c d3 ff 
48,接收,10:43:00.685.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
49,接收,10:43:00.685.0,0x00000406,数据帧,标准帧,0x08,bb 0d bb 0d bb 0d bb 0d 
50,接收,10:43:00.685.0,0x00000407,数据帧,标准帧,0x04,bb 0d bb 0d 
51,接收,10:43:00.694.0,0x0000030b,数据帧,标准帧,0x01,00 
52,接收,10:43:00.694.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
53,接收,10:43:00.694.0,0x00000408,数据帧,标准帧,0x04,7f 1c 00 00 
54,接收,10:43:00.694.0,0x00000409,数据帧,标准帧,0x08,e7 e6 e6 d7 e6 e6 e7 e7 
55,接收,10:43:00.704.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
56,接收,10:43:00.704.0,0x00000506,数据帧,标准帧,0x07,b9 0d bb 0d 64 e6 e7 
57,接收,10:43:00.704.0,0x00000509,数据帧,标准帧,0x03,40 6b 01 
58,接收,10:43:00.713.0,0x0000050a,数据帧,标准帧,0x03,e9 e8 e7 
59,接收,10:43:00.713.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
60,接收,10:43:00.724.0,0x0000050d,数据帧,标准帧,0x08,01 76 35 00 00 00 00 00 
61,接收,10:43:00.724.0,0x00000703,数据帧,标准帧,0x02,00 00 
62,接收,10:43:00.765.0,0x00000301,数据帧,标准帧,0x08,ac 44 c9 31 fe ff 00 00 
63,接收,10:43:00.765.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
64,接收,10:43:00.773.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
65,接收,10:43:00.773.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
66,接收,10:43:00.792.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d5 ff 
67,接收,10:43:00.792.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
68,接收,10:43:00.792.0,0x0000030b,数据帧,标准帧,0x01,00 
69,接收,10:43:00.792.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
70,接收,10:43:00.803.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
71,接收,10:43:00.862.0,0x00000301,数据帧,标准帧,0x08,ac 44 ad 30 fe ff 00 00 
72,接收,10:43:00.862.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
73,接收,10:43:00.873.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
74,接收,10:43:00.873.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
75,接收,10:43:00.882.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7b 3c d7 ff 
76,接收,10:43:00.882.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
77,接收,10:43:00.892.0,0x0000030b,数据帧,标准帧,0x01,00 
78,接收,10:43:00.892.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
79,接收,10:43:00.903.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
80,接收,10:43:00.963.0,0x00000301,数据帧,标准帧,0x08,ac 44 93 2f fe ff 00 00 
81,接收,10:43:00.963.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
82,接收,10:43:00.973.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
83,接收,10:43:00.973.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
84,接收,10:43:00.990.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d7 ff 
85,接收,10:43:00.990.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
86,接收,10:43:00.992.0,0x0000030b,数据帧,标准帧,0x01,00 
87,接收,10:43:00.992.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
88,接收,10:43:01.003.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
89,接收,10:43:01.062.0,0x00000301,数据帧,标准帧,0x08,ac 44 83 2e fe ff 00 00 
90,接收,10:43:01.062.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
91,接收,10:43:01.072.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
92,接收,10:43:01.072.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
93,接收,10:43:01.082.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 7b 3c d7 ff 
94,接收,10:43:01.082.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
95,接收,10:43:01.093.0,0x0000030b,数据帧,标准帧,0x01,00 
96,接收,10:43:01.093.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
97,接收,10:43:01.104.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
98,接收,10:43:01.164.0,0x00000301,数据帧,标准帧,0x08,ac 44 72 2d fe ff 00 00 
99,接收,10:43:01.164.0,0x00000302,数据帧,标准帧,0x08,d8 05 4c 04 a9 50 9d 39 
100,接收,10:43:01.173.0,0x00000303,数据帧,标准帧,0x04,8d 14 1b 0f 
101,接收,10:43:01.173.0,0x00000304,数据帧,标准帧,0x07,01 8c 00 20 00 c0 00 
102,接收,10:43:01.191.0,0x00000309,数据帧,标准帧,0x08,62 a2 00 45 76 3c d7 ff 
103,接收,10:43:01.191.0,0x0000030a,数据帧,标准帧,0x04,a3 43 a3 43 
104,接收,10:43:01.192.0,0x0000030b,数据帧,标准帧,0x01,00 
105,接收,10:43:01.192.0,0x00000400,数据帧,标准帧,0x08,03 00 00 00 00 00 00 00 
106,接收,10:43:01.203.0,0x00000401,数据帧,标准帧,0x08,58 89 00 00 ec ff ff ff 
