序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
61,接收,15:16:36.491.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 0f 0e 
62,接收,15:16:36.491.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
63,接收,15:16:36.502.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
64,接收,15:16:36.502.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
65,接收,15:16:36.502.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
66,接收,15:16:36.502.0,0x00000408,数据帧,标准帧,0x04,3a 00 00 00 
67,接收,15:16:36.513.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
68,接收,15:16:36.513.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
69,接收,15:16:36.513.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e6 d7 e5 e9 e5 e6 
70,接收,15:16:36.513.0,0x00000506,数据帧,标准帧,0x07,0f 0e 11 0e 94 e4 e6 
71,接收,15:16:36.520.0,0x00000509,数据帧,标准帧,0x03,40 72 01 
72,接收,15:16:36.520.0,0x0000050a,数据帧,标准帧,0x03,e9 e9 e5 
73,接收,15:16:36.531.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
74,接收,15:16:36.531.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
75,接收,15:16:36.582.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
76,接收,15:16:36.582.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
77,接收,15:16:36.610.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
78,接收,15:16:36.610.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
79,接收,15:16:36.610.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ca ff 
80,接收,15:16:36.610.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
81,接收,15:16:36.610.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
