序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
2208,接收,15:16:58.408.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c c8 ff 
2209,接收,15:16:58.408.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2210,接收,15:16:58.408.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2211,接收,15:16:58.408.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2212,接收,15:16:58.482.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2213,接收,15:16:58.482.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2214,接收,15:16:58.482.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2215,接收,15:16:58.482.0,0x00000301,数据帧,标准帧,0x08,64 46 5d 00 00 00 00 00 
2216,接收,15:16:58.482.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2217,接收,15:16:58.482.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
2218,接收,15:16:58.482.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
2219,接收,15:16:58.482.0,0x00000508,数据帧,标准帧,0x08,6f 30 6f 30 ef 12 00 00 
2220,接收,15:16:58.482.0,0x0000050b,数据帧,标准帧,0x08,6f 30 6f 30 11 4e 4e 11 
2221,接收,15:16:58.491.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2222,接收,15:16:58.491.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2223,接收,15:16:58.491.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 0f 0e 
2224,接收,15:16:58.491.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
2225,接收,15:16:58.491.0,0x0000050d,数据帧,标准帧,0x08,02 01 00 00 00 00 00 00 
2226,接收,15:16:58.491.0,0x0000050d,数据帧,标准帧,0x08,03 4b 00 00 00 00 00 00 
2227,接收,15:16:58.502.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c d0 ff 
2228,接收,15:16:58.502.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2229,接收,15:16:58.502.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
2230,接收,15:16:58.502.0,0x00000408,数据帧,标准帧,0x04,50 00 00 00 
2231,接收,15:16:58.502.0,0x0000050d,数据帧,标准帧,0x08,04 00 00 00 00 00 00 00 
2232,接收,15:16:58.502.0,0x0000050d,数据帧,标准帧,0x08,05 04 c2 00 00 00 00 00 
2233,接收,15:16:58.510.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2234,接收,15:16:58.510.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2235,接收,15:16:58.510.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e5 d7 e5 e8 e4 e6 
2236,接收,15:16:58.510.0,0x00000506,数据帧,标准帧,0x07,0f 0e 11 0e 94 e4 e5 
2237,接收,15:16:58.510.0,0x0000050d,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
2238,接收,15:16:58.510.0,0x0000050e,数据帧,标准帧,0x08,14 00 00 00 1e 00 00 00 
2239,接收,15:16:58.521.0,0x00000509,数据帧,标准帧,0x03,40 72 01 
2240,接收,15:16:58.521.0,0x0000050a,数据帧,标准帧,0x03,e8 e9 e5 
2241,接收,15:16:58.521.0,0x0000050f,数据帧,标准帧,0x08,00 00 00 00 07 00 00 00 
2242,接收,15:16:58.521.0,0x0000050f,数据帧,标准帧,0x08,0a 5f 5f 55 4e 50 52 4f 
2243,接收,15:16:58.531.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2244,接收,15:16:58.531.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
2245,接收,15:16:58.531.0,0x0000050f,数据帧,标准帧,0x08,0b 56 49 53 49 4f 4e 45 
2246,接收,15:16:58.531.0,0x0000050f,数据帧,标准帧,0x08,0c 44 5f 5f 00 00 00 00 
2247,接收,15:16:58.540.0,0x0000050f,数据帧,标准帧,0x08,0f 00 00 00 00 00 00 00 
2248,接收,15:16:58.540.0,0x0000050f,数据帧,标准帧,0x08,10 00 00 00 00 00 00 00 
2249,接收,15:16:58.550.0,0x0000050f,数据帧,标准帧,0x08,11 00 00 00 00 00 00 00 
2250,接收,15:16:58.550.0,0x0000050f,数据帧,标准帧,0x08,18 67 38 62 63 65 66 00 
2251,接收,15:16:58.559.0,0x0000050f,数据帧,标准帧,0x08,19 e8 07 18 00 64 00 00 
2252,接收,15:16:58.559.0,0x0000050f,数据帧,标准帧,0x08,1a 00 00 00 00 00 00 00 
2253,接收,15:16:58.569.0,0x0000050f,数据帧,标准帧,0x08,1b 00 00 00 00 00 00 00 
2254,接收,15:16:58.569.0,0x0000050f,数据帧,标准帧,0x08,1c 00 00 00 00 00 00 00 
2255,接收,15:16:58.582.0,0x00000301,数据帧,标准帧,0x08,64 46 5d 00 00 00 00 00 
2256,接收,15:16:58.582.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2257,接收,15:16:58.582.0,0x0000050f,数据帧,标准帧,0x08,1d 00 00 00 00 00 00 00 
2258,接收,15:16:58.582.0,0x00000703,数据帧,标准帧,0x02,00 00 
2259,接收,15:16:58.609.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2260,接收,15:16:58.609.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2261,接收,15:16:58.609.0,0x00000704,数据帧,标准帧,0x08,00 00 00 00 00 00 00 01 
2262,接收,15:16:58.609.0,0x00000704,数据帧,标准帧,0x08,05 00 00 00 00 00 00 00 
2263,接收,15:16:58.609.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c cc ff 
2264,接收,15:16:58.609.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2265,接收,15:16:58.609.0,0x00000704,数据帧,标准帧,0x08,06 00 00 4c 00 00 00 00 
2266,接收,15:16:58.609.0,0x00000704,数据帧,标准帧,0x08,07 00 00 00 00 00 00 00 
2267,接收,15:16:58.609.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2268,接收,15:16:58.609.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2269,接收,15:16:58.609.0,0x00000704,数据帧,标准帧,0x08,08 00 00 5a 4c 00 00 00 
2270,接收,15:16:58.612.0,0x00000704,数据帧,标准帧,0x08,0b 00 00 00 00 00 00 00 
2271,接收,15:16:58.619.0,0x00000704,数据帧,标准帧,0x08,0d 00 00 00 00 ce ce 00 
2272,接收,15:16:58.619.0,0x00000704,数据帧,标准帧,0x08,0e 00 00 00 00 00 00 00 
2273,接收,15:16:58.630.0,0x00000704,数据帧,标准帧,0x08,0f 00 00 00 00 00 00 00 
2274,接收,15:16:58.630.0,0x00000704,数据帧,标准帧,0x08,10 00 00 00 00 00 00 00 
2275,接收,15:16:58.639.0,0x00000704,数据帧,标准帧,0x08,11 00 00 00 00 00 00 00 
2276,接收,15:16:58.639.0,0x00000704,数据帧,标准帧,0x08,12 00 00 00 00 00 00 00 
2277,接收,15:16:58.650.0,0x00000704,数据帧,标准帧,0x08,13 00 00 00 00 00 00 00 
2278,接收,15:16:58.680.0,0x00000301,数据帧,标准帧,0x08,64 46 60 00 00 00 00 00 
2279,接收,15:16:58.680.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2280,接收,15:16:58.689.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2281,接收,15:16:58.689.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2282,接收,15:16:58.700.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ca ff 
2283,接收,15:16:58.700.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2284,接收,15:16:58.709.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2285,接收,15:16:58.709.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2286,接收,15:16:58.781.0,0x00000301,数据帧,标准帧,0x08,64 46 5d 00 00 00 00 00 
2287,接收,15:16:58.781.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2288,接收,15:16:58.808.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2289,接收,15:16:58.808.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2290,接收,15:16:58.808.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c ca ff 
2291,接收,15:16:58.808.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2292,接收,15:16:58.808.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2293,接收,15:16:58.808.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2294,接收,15:16:58.880.0,0x00000301,数据帧,标准帧,0x08,64 46 5d 00 00 00 00 00 
2295,接收,15:16:58.880.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2296,接收,15:16:58.889.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2297,接收,15:16:58.889.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2298,接收,15:16:58.900.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
2299,接收,15:16:58.900.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2300,接收,15:16:58.909.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2301,接收,15:16:58.909.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2302,接收,15:16:58.980.0,0x00000301,数据帧,标准帧,0x08,64 46 5f 00 00 00 00 00 
2303,接收,15:16:58.980.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2304,接收,15:16:59.009.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2305,接收,15:16:59.009.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2306,接收,15:16:59.009.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c c6 ff 
2307,接收,15:16:59.009.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2308,接收,15:16:59.009.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2309,接收,15:16:59.009.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2310,接收,15:16:59.080.0,0x00000301,数据帧,标准帧,0x08,64 46 5d 00 00 00 00 00 
2311,接收,15:16:59.080.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2312,接收,15:16:59.089.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2313,接收,15:16:59.089.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2314,接收,15:16:59.100.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c d6 ff 
2315,接收,15:16:59.100.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2316,接收,15:16:59.109.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2317,接收,15:16:59.109.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2318,接收,15:16:59.180.0,0x00000301,数据帧,标准帧,0x08,64 46 5f 00 00 00 00 00 
2319,接收,15:16:59.180.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2320,接收,15:16:59.208.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2321,接收,15:16:59.208.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2322,接收,15:16:59.208.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c ce ff 
2323,接收,15:16:59.208.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2324,接收,15:16:59.208.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2325,接收,15:16:59.208.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2326,接收,15:16:59.279.0,0x00000301,数据帧,标准帧,0x08,64 46 60 00 00 00 00 00 
2327,接收,15:16:59.279.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2328,接收,15:16:59.290.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2329,接收,15:16:59.290.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2330,接收,15:16:59.299.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c d0 ff 
2331,接收,15:16:59.299.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2332,接收,15:16:59.309.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2333,接收,15:16:59.309.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2334,接收,15:16:59.380.0,0x00000301,数据帧,标准帧,0x08,64 46 60 00 00 00 00 00 
2335,接收,15:16:59.380.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2336,接收,15:16:59.409.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2337,接收,15:16:59.409.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2338,接收,15:16:59.409.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c cc ff 
2339,接收,15:16:59.409.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2340,接收,15:16:59.409.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2341,接收,15:16:59.409.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2342,接收,15:16:59.482.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2343,接收,15:16:59.482.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2344,接收,15:16:59.482.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2345,接收,15:16:59.482.0,0x00000301,数据帧,标准帧,0x08,64 46 5e 00 00 00 00 00 
2346,接收,15:16:59.482.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2347,接收,15:16:59.482.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
2348,接收,15:16:59.482.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
2349,接收,15:16:59.491.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2350,接收,15:16:59.491.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2351,接收,15:16:59.491.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 0f 0e 
2352,接收,15:16:59.491.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
2353,接收,15:16:59.500.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ce ff 
2354,接收,15:16:59.500.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2355,接收,15:16:59.500.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
2356,接收,15:16:59.500.0,0x00000408,数据帧,标准帧,0x04,51 00 00 00 
2357,接收,15:16:59.511.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2358,接收,15:16:59.511.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2359,接收,15:16:59.511.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e5 d7 e5 e8 e4 e6 
2360,接收,15:16:59.511.0,0x00000506,数据帧,标准帧,0x07,0f 0e 11 0e 94 e4 e5 
2361,接收,15:16:59.520.0,0x00000509,数据帧,标准帧,0x03,40 72 01 
2362,接收,15:16:59.520.0,0x0000050a,数据帧,标准帧,0x03,e8 e9 e5 
2363,接收,15:16:59.529.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2364,接收,15:16:59.529.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
2365,接收,15:16:59.581.0,0x00000301,数据帧,标准帧,0x08,64 46 5e 00 00 00 00 00 
2366,接收,15:16:59.581.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2367,接收,15:16:59.609.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2368,接收,15:16:59.609.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2369,接收,15:16:59.609.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c ca ff 
2370,接收,15:16:59.609.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2371,接收,15:16:59.609.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2372,接收,15:16:59.609.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2373,接收,15:16:59.679.0,0x00000301,数据帧,标准帧,0x08,64 46 5c 00 00 00 00 00 
2374,接收,15:16:59.679.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2375,接收,15:16:59.690.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2376,接收,15:16:59.690.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2377,接收,15:16:59.699.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c d0 ff 
2378,接收,15:16:59.699.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2379,接收,15:16:59.711.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2380,接收,15:16:59.711.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2381,接收,15:16:59.782.0,0x00000301,数据帧,标准帧,0x08,64 46 61 00 00 00 00 00 
2382,接收,15:16:59.782.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2383,接收,15:16:59.810.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2384,接收,15:16:59.810.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2385,接收,15:16:59.810.0,0x00000309,数据帧,标准帧,0x08,63 a8 00 46 83 3c ca ff 
2386,接收,15:16:59.810.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2387,接收,15:16:59.810.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2388,接收,15:16:59.810.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2389,接收,15:16:59.879.0,0x00000301,数据帧,标准帧,0x08,64 46 5e 00 00 00 00 00 
2390,接收,15:16:59.879.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2391,接收,15:16:59.890.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2392,接收,15:16:59.890.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2393,接收,15:16:59.899.0,0x00000309,数据帧,标准帧,0x08,63 a9 00 46 82 3c ce ff 
2394,接收,15:16:59.899.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2395,接收,15:16:59.910.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2396,接收,15:16:59.910.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2397,接收,15:16:59.981.0,0x00000301,数据帧,标准帧,0x08,64 46 5f 00 00 00 00 00 
2398,接收,15:16:59.981.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2399,接收,15:17:00.008.0,0x00000303,数据帧,标准帧,0x04,1e 1c 32 23 
2400,接收,15:17:00.008.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2401,接收,15:17:00.008.0,0x00000309,数据帧,标准帧,0x08,62 a7 00 46 83 3c ca ff 
2402,接收,15:17:00.008.0,0x0000030a,数据帧,标准帧,0x04,40 00 36 00 
2403,接收,15:17:00.008.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2404,接收,15:17:00.008.0,0x00000401,数据帧,标准帧,0x08,c8 8c 00 00 00 00 00 00 
2405,接收,15:17:00.079.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
2406,接收,15:17:00.079.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2407,接收,15:17:00.090.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2408,接收,15:17:00.090.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2409,接收,15:17:00.100.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
2410,接收,15:17:00.100.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2411,接收,15:17:00.109.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2412,接收,15:17:00.109.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
2413,接收,15:17:00.180.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
2414,接收,15:17:00.180.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2415,接收,15:17:00.207.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2416,接收,15:17:00.207.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2417,接收,15:17:00.207.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c cc ff 
2418,接收,15:17:00.207.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2419,接收,15:17:00.207.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2420,接收,15:17:00.207.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
2421,接收,15:17:00.280.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
2422,接收,15:17:00.280.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2423,接收,15:17:00.289.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2424,接收,15:17:00.289.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2425,接收,15:17:00.300.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c c8 ff 
2426,接收,15:17:00.300.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2427,接收,15:17:00.309.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2428,接收,15:17:00.309.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
2429,接收,15:17:00.381.0,0x00000301,数据帧,标准帧,0x08,5a 46 5f 00 00 00 00 00 
2430,接收,15:17:00.381.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2431,接收,15:17:00.409.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2432,接收,15:17:00.409.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2433,接收,15:17:00.409.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c ca ff 
2434,接收,15:17:00.409.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2435,接收,15:17:00.409.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2436,接收,15:17:00.409.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
2437,接收,15:17:00.481.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2438,接收,15:17:00.481.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2439,接收,15:17:00.481.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2440,接收,15:17:00.481.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
2441,接收,15:17:00.481.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2442,接收,15:17:00.481.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
2443,接收,15:17:00.481.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
2444,接收,15:17:00.492.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2445,接收,15:17:00.492.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2446,接收,15:17:00.492.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 0f 0e 
2447,接收,15:17:00.492.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
2448,接收,15:17:00.502.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
2449,接收,15:17:00.502.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2450,接收,15:17:00.502.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
2451,接收,15:17:00.502.0,0x00000408,数据帧,标准帧,0x04,52 00 00 00 
2452,接收,15:17:00.512.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2453,接收,15:17:00.512.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
2454,接收,15:17:00.512.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e5 d7 e5 e8 e4 e6 
2455,接收,15:17:00.512.0,0x00000506,数据帧,标准帧,0x07,0f 0e 11 0e 94 e4 e5 
2456,接收,15:17:00.519.0,0x00000509,数据帧,标准帧,0x03,40 72 01 
2457,接收,15:17:00.519.0,0x0000050a,数据帧,标准帧,0x03,e8 e9 e5 
2458,接收,15:17:00.530.0,0x0000050d,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
2459,接收,15:17:00.530.0,0x0000050d,数据帧,标准帧,0x08,01 5a 4c 00 00 00 00 00 
2460,接收,15:17:00.580.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
2461,接收,15:17:00.580.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2462,接收,15:17:00.608.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2463,接收,15:17:00.608.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2464,接收,15:17:00.608.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c ce ff 
2465,接收,15:17:00.608.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2466,接收,15:17:00.608.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
2467,接收,15:17:00.608.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
2468,接收,15:17:00.680.0,0x00000301,数据帧,标准帧,0x08,5a 46 60 00 00 00 00 00 
2469,接收,15:17:00.680.0,0x00000302,数据帧,标准帧,0x08,cd 07 c4 09 a9 50 9d 39 
2470,接收,15:17:00.689.0,0x00000303,数据帧,标准帧,0x04,1a 1c 2d 23 
2471,接收,15:17:00.689.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
2472,接收,15:17:00.700.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c c8 ff 
