序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
58,接收,19:07:59.842.0,0x00000506,标准帧,数据帧,0x07,09 0C 1D 0C A5 E4 E5 ,
59,接收,19:07:59.852.0,0x00000509,标准帧,数据帧,0x03,3F 81 01 ,
60,接收,19:07:59.852.0,0x0000050a,标准帧,数据帧,0x03,E6 E6 E5 ,
61,接收,19:07:59.861.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
62,接收,19:07:59.861.0,0x0000050d,标准帧,数据帧,0x08,01 BB 03 00 00 00 00 00 ,
63,接收,19:07:59.918.0,0x00000301,标准帧,数据帧,0x08,68 3C 3E 3C 00 00 00 00 ,
64,接收,19:07:59.918.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
65,接收,19:07:59.921.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
66,接收,19:07:59.921.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
67,接收,19:07:59.944.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D0 FF ,
68,接收,19:07:59.944.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5A 3B ,
69,接收,19:07:59.944.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
70,接收,19:07:59.944.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
71,接收,19:08:00.014.0,0x00000301,标准帧,数据帧,0x08,68 3C 46 3C 00 00 00 00 ,
72,接收,19:08:00.014.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
73,接收,19:08:00.021.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
74,接收,19:08:00.021.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
75,接收,19:08:00.031.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D4 FF ,
76,接收,19:08:00.031.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
77,接收,19:08:00.040.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
78,接收,19:08:00.040.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
79,接收,19:08:00.118.0,0x00000301,标准帧,数据帧,0x08,68 3C 46 3C 00 00 00 00 ,
80,接收,19:08:00.118.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
81,接收,19:08:00.122.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
82,接收,19:08:00.122.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
83,接收,19:08:00.145.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D2 FF ,
84,接收,19:08:00.145.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
85,接收,19:08:00.145.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
86,接收,19:08:00.145.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
87,接收,19:08:00.213.0,0x00000301,标准帧,数据帧,0x08,68 3C 46 3C 00 00 00 00 ,
88,接收,19:08:00.213.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
89,接收,19:08:00.220.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
90,接收,19:08:00.220.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
91,接收,19:08:00.231.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D4 FF ,
92,接收,19:08:00.231.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
93,接收,19:08:00.240.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
94,接收,19:08:00.241.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
95,接收,19:08:00.315.0,0x00000301,标准帧,数据帧,0x08,68 3C 39 3C 00 00 00 00 ,
96,接收,19:08:00.315.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
97,接收,19:08:00.322.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
98,接收,19:08:00.322.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
99,接收,19:08:00.342.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 81 3C D0 FF ,
100,接收,19:08:00.342.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
101,接收,19:08:00.342.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
102,接收,19:08:00.342.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
103,接收,19:08:00.413.0,0x00000301,标准帧,数据帧,0x08,6D 3C 49 3C 00 00 00 00 ,
104,接收,19:08:00.413.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
105,接收,19:08:00.420.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
106,接收,19:08:00.420.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
107,接收,19:08:00.432.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7E 3C D4 FF ,
108,接收,19:08:00.432.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
109,接收,19:08:00.441.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
110,接收,19:08:00.441.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
111,接收,19:08:00.519.0,0x00000301,标准帧,数据帧,0x08,6D 3C 43 3C 00 00 00 00 ,
112,接收,19:08:00.519.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
113,接收,19:08:00.538.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
114,接收,19:08:00.538.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
115,接收,19:08:00.542.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D0 FF ,
116,接收,19:08:00.542.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
117,接收,19:08:00.542.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
118,接收,19:08:00.542.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
119,接收,19:08:00.614.0,0x00000301,标准帧,数据帧,0x08,68 3C 49 3C 00 00 00 00 ,
120,接收,19:08:00.614.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
121,接收,19:08:00.621.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
122,接收,19:08:00.621.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
123,接收,19:08:00.632.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D4 FF ,
124,接收,19:08:00.632.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
125,接收,19:08:00.642.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
126,接收,19:08:00.642.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
127,接收,19:08:00.719.0,0x00000301,标准帧,数据帧,0x08,68 3C 3F 3C 00 00 00 00 ,
128,接收,19:08:00.719.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
