Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
29,Receive,19:07:59.630.0,0x0000030a,Standard,Data,0x04,63 3C 5A 3B ,
30,Receive,19:07:59.641.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
31,Receive,19:07:59.641.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
32,Receive,19:07:59.720.0,0x00000301,Standard,Data,0x08,68 3C 44 3C 00 00 00 00 ,
33,Receive,19:07:59.720.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
34,Receive,19:07:59.740.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
35,Receive,19:07:59.740.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
36,Receive,19:07:59.741.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D2 FF ,
37,Receive,19:07:59.741.0,0x0000030a,Standard,Data,0x04,63 3C 5A 3B ,
38,Receive,19:07:59.741.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
39,Receive,19:07:59.742.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
40,Receive,19:07:59.815.0,0x00000604,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
41,Receive,19:07:59.815.0,0x00000605,Standard,Data,0x08,00 00 00 00 01 00 00 00 ,
42,Receive,19:07:59.815.0,0x00000606,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
43,Receive,19:07:59.815.0,0x00000301,Standard,Data,0x08,68 3C 45 3C 00 00 00 00 ,
44,Receive,19:07:59.815.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
45,Receive,19:07:59.815.0,0x00000402,Standard,Data,0x08,01 00 00 00 F8 25 00 00 ,
46,Receive,19:07:59.816.0,0x00000403,Standard,Data,0x08,64 00 00 00 E3 C3 07 00 ,
47,Receive,19:07:59.824.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
48,Receive,19:07:59.824.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
49,Receive,19:07:59.824.0,0x00000405,Standard,Data,0x08,10 0C 10 0C 13 0C 16 0C ,
50,Receive,19:07:59.824.0,0x00000406,Standard,Data,0x08,09 0C 1B 0C 17 0C 14 0C ,
51,Receive,19:07:59.834.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7E 3C D0 FF ,
52,Receive,19:07:59.834.0,0x0000030a,Standard,Data,0x04,5E 3C 5A 3B ,
53,Receive,19:07:59.834.0,0x00000407,Standard,Data,0x04,18 0C 1D 0C ,
54,Receive,19:07:59.834.0,0x00000408,Standard,Data,0x04,EC 08 00 00 ,
55,Receive,19:07:59.841.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
56,Receive,19:07:59.841.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
57,Receive,19:07:59.842.0,0x00000409,Standard,Data,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
58,Receive,19:07:59.842.0,0x00000506,Standard,Data,0x07,09 0C 1D 0C A5 E4 E5 ,
59,Receive,19:07:59.852.0,0x00000509,Standard,Data,0x03,3F 81 01 ,
60,Receive,19:07:59.852.0,0x0000050a,Standard,Data,0x03,E6 E6 E5 ,
61,Receive,19:07:59.861.0,0x0000050d,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
62,Receive,19:07:59.861.0,0x0000050d,Standard,Data,0x08,01 BB 03 00 00 00 00 00 ,
63,Receive,19:07:59.918.0,0x00000301,Standard,Data,0x08,68 3C 3E 3C 00 00 00 00 ,
64,Receive,19:07:59.918.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
65,Receive,19:07:59.921.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
66,Receive,19:07:59.921.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
67,Receive,19:07:59.944.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 80 3C D0 FF ,
68,Receive,19:07:59.944.0,0x0000030a,Standard,Data,0x04,5E 3C 5A 3B ,
69,Receive,19:07:59.944.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
70,Receive,19:07:59.944.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
71,Receive,19:08:00.014.0,0x00000301,Standard,Data,0x08,68 3C 46 3C 00 00 00 00 ,
72,Receive,19:08:00.014.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
73,Receive,19:08:00.021.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
74,Receive,19:08:00.021.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
75,Receive,19:08:00.031.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
76,Receive,19:08:00.031.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
77,Receive,19:08:00.040.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
78,Receive,19:08:00.040.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
79,Receive,19:08:00.118.0,0x00000301,Standard,Data,0x08,68 3C 46 3C 00 00 00 00 ,
80,Receive,19:08:00.118.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
81,Receive,19:08:00.122.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
82,Receive,19:08:00.122.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
83,Receive,19:08:00.145.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D2 FF ,
84,Receive,19:08:00.145.0,0x0000030a,Standard,Data,0x04,63 3C 5F 3B ,
