序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847360,接收,14:42:13.542.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847361,接收,14:42:13.610.0,0x00000301,标准帧,数据帧,0x08,E0 50 9A 4F 00 00 00 00 ,
8847362,接收,14:42:13.610.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847363,接收,14:42:13.620.0,0x00000303,标准帧,数据帧,0x04,70 28 00 00 ,
8847364,接收,14:42:13.620.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847365,接收,14:42:13.630.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CC FF ,
8847366,接收,14:42:13.630.0,0x0000030a,标准帧,数据帧,0x04,09 50 04 50 ,
8847367,接收,14:42:13.640.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847368,接收,14:42:13.640.0,0x00000401,标准帧,数据帧,0x08,C2 A1 00 00 00 00 00 00 ,
8847369,接收,14:42:13.713.0,0x00000301,标准帧,数据帧,0x08,E0 50 9B 4F 00 00 00 00 ,
8847370,接收,14:42:13.713.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847371,接收,14:42:13.737.0,0x00000303,标准帧,数据帧,0x04,70 28 00 00 ,
8847372,接收,14:42:13.737.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847373,接收,14:42:13.739.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847374,接收,14:42:13.739.0,0x0000030a,标准帧,数据帧,0x04,09 50 04 50 ,
8847375,接收,14:42:13.739.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847376,接收,14:42:13.740.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847377,接收,14:42:13.810.0,0x00000301,标准帧,数据帧,0x08,DB 50 A0 4F 00 00 00 00 ,
8847378,接收,14:42:13.810.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847379,接收,14:42:13.820.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847380,接收,14:42:13.820.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847381,接收,14:42:13.830.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847382,接收,14:42:13.830.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847383,接收,14:42:13.840.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847384,接收,14:42:13.840.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847385,接收,14:42:13.913.0,0x00000301,标准帧,数据帧,0x08,DB 50 98 4F 00 00 00 00 ,
8847386,接收,14:42:13.913.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847387,接收,14:42:13.941.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847388,接收,14:42:13.941.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847389,接收,14:42:13.941.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847390,接收,14:42:13.941.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847391,接收,14:42:13.941.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847392,接收,14:42:13.941.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847393,接收,14:42:14.013.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847394,接收,14:42:14.013.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 08 00 ,
8847395,接收,14:42:14.013.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847396,接收,14:42:14.013.0,0x00000301,标准帧,数据帧,0x08,DB 50 9F 4F 00 00 00 00 ,
8847397,接收,14:42:14.013.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847398,接收,14:42:14.013.0,0x00000402,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847399,接收,14:42:14.013.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847400,接收,14:42:14.023.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847401,接收,14:42:14.023.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847402,接收,14:42:14.023.0,0x00000405,标准帧,数据帧,0x08,2C 10 2A 10 29 10 29 10 ,
8847403,接收,14:42:14.023.0,0x00000406,标准帧,数据帧,0x08,2A 10 29 10 2B 10 29 10 ,
8847404,接收,14:42:14.033.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D2 FF ,
8847405,接收,14:42:14.033.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847406,接收,14:42:14.033.0,0x00000407,标准帧,数据帧,0x04,2E 10 2A 10 ,
8847407,接收,14:42:14.033.0,0x00000408,标准帧,数据帧,0x04,78 AF 07 00 ,
8847408,接收,14:42:14.042.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847409,接收,14:42:14.042.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847410,接收,14:42:14.042.0,0x00000409,标准帧,数据帧,0x08,E7 E7 E6 D5 E7 E7 E6 E7 ,
8847411,接收,14:42:14.043.0,0x00000506,标准帧,数据帧,0x07,29 10 2E 10 93 E6 E7 ,
8847412,接收,14:42:14.051.0,0x00000509,标准帧,数据帧,0x03,41 71 01 ,
8847413,接收,14:42:14.051.0,0x0000050a,标准帧,数据帧,0x03,E8 E9 E6 ,
8847414,接收,14:42:14.061.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847415,接收,14:42:14.061.0,0x0000050d,标准帧,数据帧,0x08,01 4F C3 00 00 00 00 00 ,
8847416,接收,14:42:14.112.0,0x00000301,标准帧,数据帧,0x08,DB 50 96 4F 00 00 00 00 ,
8847417,接收,14:42:14.113.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847418,接收,14:42:14.139.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847419,接收,14:42:14.139.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847420,接收,14:42:14.143.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847421,接收,14:42:14.143.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847422,接收,14:42:14.143.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847423,接收,14:42:14.143.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847424,接收,14:42:14.211.0,0x00000301,标准帧,数据帧,0x08,E0 50 9C 4F 00 00 00 00 ,
8847425,接收,14:42:14.211.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847426,接收,14:42:14.221.0,0x00000303,标准帧,数据帧,0x04,70 28 00 00 ,
8847427,接收,14:42:14.221.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847428,接收,14:42:14.230.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D2 FF ,
8847429,接收,14:42:14.230.0,0x0000030a,标准帧,数据帧,0x04,09 50 0E 50 ,
8847430,接收,14:42:14.241.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847431,接收,14:42:14.241.0,0x00000401,标准帧,数据帧,0x08,C2 A1 00 00 00 00 00 00 ,
8847432,接收,14:42:14.311.0,0x00000301,标准帧,数据帧,0x08,E0 50 9E 4F 00 00 00 00 ,
8847433,接收,14:42:14.311.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847434,接收,14:42:14.341.0,0x00000303,标准帧,数据帧,0x04,70 28 00 00 ,
8847435,接收,14:42:14.341.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847436,接收,14:42:14.341.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847437,接收,14:42:14.341.0,0x0000030a,标准帧,数据帧,0x04,09 50 0E 50 ,
8847438,接收,14:42:14.341.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847439,接收,14:42:14.341.0,0x00000401,标准帧,数据帧,0x08,C2 A1 00 00 00 00 00 00 ,
8847440,接收,14:42:14.411.0,0x00000301,标准帧,数据帧,0x08,DB 50 A2 4F 00 00 00 00 ,
8847441,接收,14:42:14.411.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847442,接收,14:42:14.419.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847443,接收,14:42:14.420.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847444,接收,14:42:14.430.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847445,接收,14:42:14.430.0,0x0000030a,标准帧,数据帧,0x04,09 50 14 50 ,
8847446,接收,14:42:14.440.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847447,接收,14:42:14.440.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847448,接收,14:42:14.512.0,0x00000301,标准帧,数据帧,0x08,DB 50 9E 4F 00 00 00 00 ,
8847449,接收,14:42:14.512.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847450,接收,14:42:14.538.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847451,接收,14:42:14.539.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847452,接收,14:42:14.539.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847453,接收,14:42:14.542.0,0x0000030a,标准帧,数据帧,0x04,09 50 14 50 ,
8847454,接收,14:42:14.542.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847455,接收,14:42:14.542.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847456,接收,14:42:14.610.0,0x00000301,标准帧,数据帧,0x08,DB 50 A0 4F 00 00 00 00 ,
8847457,接收,14:42:14.610.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847458,接收,14:42:14.621.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847459,接收,14:42:14.621.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847460,接收,14:42:14.631.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847461,接收,14:42:14.631.0,0x0000030a,标准帧,数据帧,0x04,09 50 0E 50 ,
8847462,接收,14:42:14.640.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847463,接收,14:42:14.640.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847464,接收,14:42:14.713.0,0x00000301,标准帧,数据帧,0x08,DB 50 99 4F 00 00 00 00 ,
8847465,接收,14:42:14.713.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847466,接收,14:42:14.741.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847467,接收,14:42:14.741.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847468,接收,14:42:14.741.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847469,接收,14:42:14.741.0,0x0000030a,标准帧,数据帧,0x04,09 50 0E 50 ,
8847470,接收,14:42:14.741.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847471,接收,14:42:14.741.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847472,接收,14:42:14.811.0,0x00000301,标准帧,数据帧,0x08,DB 50 A0 4F 00 00 00 00 ,
8847473,接收,14:42:14.811.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847474,接收,14:42:14.821.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847475,接收,14:42:14.821.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847476,接收,14:42:14.831.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847477,接收,14:42:14.831.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847478,接收,14:42:14.841.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847479,接收,14:42:14.841.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847480,接收,14:42:14.914.0,0x00000301,标准帧,数据帧,0x08,DB 50 A1 4F 00 00 00 00 ,
8847481,接收,14:42:14.914.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847482,接收,14:42:14.940.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847483,接收,14:42:14.940.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847484,接收,14:42:14.940.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847485,接收,14:42:14.940.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847486,接收,14:42:14.940.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847487,接收,14:42:14.940.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847488,接收,14:42:15.010.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847489,接收,14:42:15.010.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 08 00 ,
8847490,接收,14:42:15.011.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847491,接收,14:42:15.012.0,0x00000301,标准帧,数据帧,0x08,DB 50 A0 4F 00 00 00 00 ,
8847492,接收,14:42:15.014.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847493,接收,14:42:15.014.0,0x00000402,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847494,接收,14:42:15.015.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 B3 E0 06 00 ,
8847495,接收,14:42:15.023.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847496,接收,14:42:15.023.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847497,接收,14:42:15.023.0,0x00000405,标准帧,数据帧,0x08,2C 10 2A 10 29 10 29 10 ,
8847498,接收,14:42:15.023.0,0x00000406,标准帧,数据帧,0x08,2A 10 29 10 2B 10 29 10 ,
8847499,接收,14:42:15.033.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CC FF ,
8847500,接收,14:42:15.033.0,0x0000030a,标准帧,数据帧,0x04,0E 50 0E 50 ,
8847501,接收,14:42:15.033.0,0x00000407,标准帧,数据帧,0x04,2E 10 2A 10 ,
8847502,接收,14:42:15.033.0,0x00000408,标准帧,数据帧,0x04,79 AF 07 00 ,
8847503,接收,14:42:15.042.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847504,接收,14:42:15.042.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847505,接收,14:42:15.042.0,0x00000409,标准帧,数据帧,0x08,E7 E7 E6 D5 E7 E7 E6 E7 ,
8847506,接收,14:42:15.042.0,0x00000506,标准帧,数据帧,0x07,29 10 2E 10 93 E6 E7 ,
8847507,接收,14:42:15.051.0,0x00000509,标准帧,数据帧,0x03,41 71 01 ,
8847508,接收,14:42:15.051.0,0x0000050a,标准帧,数据帧,0x03,E8 E9 E6 ,
8847509,接收,14:42:15.061.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
8847510,接收,14:42:15.061.0,0x0000050d,标准帧,数据帧,0x08,01 4F C3 00 00 00 00 00 ,
8847511,接收,14:42:15.112.0,0x00000301,标准帧,数据帧,0x08,DB 50 9C 4F 00 00 00 00 ,
8847512,接收,14:42:15.112.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847513,接收,14:42:15.142.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847514,接收,14:42:15.142.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847515,接收,14:42:15.142.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847516,接收,14:42:15.142.0,0x0000030a,标准帧,数据帧,0x04,0E 50 0E 50 ,
8847517,接收,14:42:15.142.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847518,接收,14:42:15.142.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847519,接收,14:42:15.210.0,0x00000301,标准帧,数据帧,0x08,DB 50 9F 4F 00 00 00 00 ,
8847520,接收,14:42:15.210.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847521,接收,14:42:15.221.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847522,接收,14:42:15.221.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847523,接收,14:42:15.231.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847524,接收,14:42:15.231.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847525,接收,14:42:15.241.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847526,接收,14:42:15.241.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847527,接收,14:42:15.313.0,0x00000301,标准帧,数据帧,0x08,DB 50 9D 4F 00 00 00 00 ,
8847528,接收,14:42:15.313.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847529,接收,14:42:15.321.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847530,接收,14:42:15.321.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847531,接收,14:42:15.343.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847532,接收,14:42:15.343.0,0x0000030a,标准帧,数据帧,0x04,09 50 09 50 ,
8847533,接收,14:42:15.343.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847534,接收,14:42:15.343.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847535,接收,14:42:15.412.0,0x00000301,标准帧,数据帧,0x08,DB 50 A3 4F 00 00 00 00 ,
8847536,接收,14:42:15.412.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847537,接收,14:42:15.420.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847538,接收,14:42:15.420.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847539,接收,14:42:15.430.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D4 FF ,
8847540,接收,14:42:15.430.0,0x0000030a,标准帧,数据帧,0x04,0E 50 04 50 ,
8847541,接收,14:42:15.440.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847542,接收,14:42:15.441.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847543,接收,14:42:15.513.0,0x00000301,标准帧,数据帧,0x08,DB 50 9A 4F 00 00 00 00 ,
8847544,接收,14:42:15.513.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847545,接收,14:42:15.521.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847546,接收,14:42:15.521.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847547,接收,14:42:15.543.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CE FF ,
8847548,接收,14:42:15.543.0,0x0000030a,标准帧,数据帧,0x04,0E 50 04 50 ,
8847549,接收,14:42:15.543.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847550,接收,14:42:15.543.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847551,接收,14:42:15.611.0,0x00000301,标准帧,数据帧,0x08,DB 50 A3 4F 00 00 00 00 ,
8847552,接收,14:42:15.611.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847553,接收,14:42:15.621.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847554,接收,14:42:15.621.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847555,接收,14:42:15.631.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C D0 FF ,
8847556,接收,14:42:15.631.0,0x0000030a,标准帧,数据帧,0x04,09 50 0E 50 ,
8847557,接收,14:42:15.641.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847558,接收,14:42:15.641.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847559,接收,14:42:15.712.0,0x00000301,标准帧,数据帧,0x08,DB 50 9D 4F 00 00 00 00 ,
8847560,接收,14:42:15.712.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847561,接收,14:42:15.740.0,0x00000303,标准帧,数据帧,0x04,6E 28 00 00 ,
8847562,接收,14:42:15.740.0,0x00000304,标准帧,数据帧,0x06,04 8E 02 10 00 00 ,
8847563,接收,14:42:15.740.0,0x00000309,标准帧,数据帧,0x08,63 A9 00 52 0D 3C CA FF ,
8847564,接收,14:42:15.740.0,0x0000030a,标准帧,数据帧,0x04,09 50 0E 50 ,
8847565,接收,14:42:15.740.0,0x00000400,标准帧,数据帧,0x08,01 00 48 00 00 00 00 00 ,
8847566,接收,14:42:15.740.0,0x00000401,标准帧,数据帧,0x08,B7 A1 00 00 00 00 00 00 ,
8847567,接收,14:42:15.811.0,0x00000301,标准帧,数据帧,0x08,DB 50 9A 4F 00 00 00 00 ,
8847568,接收,14:42:15.811.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
